ticker,date,open,high,low,close,volume,vwap,timestamp,transactions
AAPL,2026-01-02,272.255,277.84,269.0,271.01,37838054,271.9197,1767330000000,642187
AAPL,2026-01-05,270.64,271.51,266.14,267.26,45647190,267.9755,1767589200000,754339
AAPL,2026-01-06,267.0,267.55,262.12,262.36,52352090,263.1381,1767675600000,783173
AAPL,2026-01-07,263.2,263.68,259.81,260.33,48309804,261.4392,1767762000000,732706
AAPL,2026-01-08,257.02,259.29,255.7,259.04,50419337,257.4496,1767848400000,764090
AAPL,2026-01-09,259.075,260.21,256.22,259.37,39996967,258.6804,1767934800000,649745
AAPL,2026-01-12,259.16,261.3,256.8,260.25,45263767,260.0061,1768194000000,664531
AAPL,2026-01-13,258.72,261.81,258.39,261.05,45730847,260.3473,1768280400000,602102
AAPL,2026-01-14,259.49,261.82,256.71,259.96,40019421,259.2335,1768366800000,612223
AAPL,2026-01-15,260.65,261.04,257.05,258.21,39388564,258.9417,1768453200000,601833
AAPL,2026-01-16,257.9,258.9,254.93,255.53,72142773,256.2442,1768539600000,661895
AAPL,2026-01-20,252.73,254.79,243.42,246.7,80267517,248.1492,1768885200000,1016079
AAPL,2026-01-21,248.7,251.56,245.18,247.65,54641725,247.7151,1768971600000,806424
AAPL,2026-01-22,249.2,251.0,248.15,248.35,39708340,249.2648,1769058000000,611659
AAPL,2026-01-23,247.32,249.41,244.68,248.04,41688982,247.5598,1769144400000,629226
AAPL,2026-01-26,251.48,256.56,249.8,255.41,55969234,254.6109,1769403600000,771970
AAPL,2026-01-27,259.17,261.95,258.21,258.27,49648271,259.6602,1769490000000,698663
AAPL,2026-01-28,257.65,258.855,254.51,256.44,41287971,256.2135,1769576400000,620112
AAPL,2026-01-29,258.0,259.65,254.41,258.28,67253009,258.2492,1769662800000,923855
AAPL,2026-01-30,255.165,261.8999,252.18,259.48,92443408,257.6628,1769749200000,1003197
GOOG,2026-01-02,317.59,322.9138,310.65,315.32,22043703,316.0157,1767330000000,394026
GOOG,2026-01-05,317.695,319.25,315.249,317.32,19934019,317.0934,1767589200000,341144
GOOG,2026-01-06,317.31,321.56,312.34,314.55,18989910,315.152,1767675600000,343828
GOOG,2026-01-07,314.57,326.465,314.5,322.43,24681825,321.7631,1767762000000,382337
GOOG,2026-01-08,329.265,330.54,321.99,326.01,21789614,326.0998,1767848400000,390824
GOOG,2026-01-09,327.49,331.48,326.25,329.14,17917732,329.6345,1767934800000,322279
GOOG,2026-01-12,326.5,334.44,325.51,332.73,23893764,330.8562,1768194000000,376360
GOOG,2026-01-13,335.28,341.2,334.35,336.43,24616700,337.6026,1768280400000,409721
GOOG,2026-01-14,334.985,337.03,331.14,336.31,17839332,334.8651,1768366800000,313974
GOOG,2026-01-15,338.055,338.13,331.29,333.16,16424864,333.5458,1768453200000,311980
GOOG,2026-01-16,334.935,335.2399,328.17,330.34,21868624,331.0496,1768539600000,304218
GOOG,2026-01-20,321.24,328.09,320.89,322.16,27169853,323.443,1768885200000,551607
GOOG,2026-01-21,321.095,332.725,319.5401,328.38,22791650,327.7704,1768971600000,414623
GOOG,2026-01-22,334.265,335.21,328.88,330.84,19902110,331.6583,1769058000000,346115
GOOG,2026-01-23,332.655,334.03,327.97,328.43,19110585,329.9866,1769144400000,331453
GOOG,2026-01-26,328.2,336.3499,327.49,333.59,18502451,333.3151,1769403600000,274600
GOOG,2026-01-27,335.63,338.215,333.75,335.0,16080924,335.8461,1769490000000,263768
GOOG,2026-01-28,336.61,337.63,332.13,336.28,17538476,335.6665,1769576400000,317052
GOOG,2026-01-29,340.35,342.29,326.72,338.66,24548303,334.7555,1769662800000,413034
GOOG,2026-01-30,334.46,340.29,332.64,338.53,21740202,338.1579,1769749200000,330292
MSFT,2026-01-02,484.385,484.66,470.16,472.94,25571567,474.5256,1767330000000,716522
MSFT,2026-01-05,474.055,476.07,469.5,472.85,25250260,473.3783,1767589200000,685144
MSFT,2026-01-06,473.8,478.7367,469.75,478.51,23037665,475.7775,1767675600000,537703
MSFT,2026-01-07,479.755,489.7,477.95,483.47,25564196,485.1659,1767762000000,571626
MSFT,2026-01-08,481.24,482.66,475.86,478.11,18162616,478.1025,1767848400000,460153
MSFT,2026-01-09,474.06,479.82,472.2001,479.28,18491036,477.1487,1767934800000,472141
MSFT,2026-01-12,476.67,480.99,475.6803,477.18,23519895,478.0578,1768194000000,495629
MSFT,2026-01-13,474.675,475.7799,465.95,470.67,28545800,469.7192,1768280400000,739726
MSFT,2026-01-14,466.46,468.2,457.1701,459.38,28184302,460.9882,1768366800000,792317
MSFT,2026-01-15,464.12,464.25,455.9,456.66,23225839,458.5446,1768453200000,677780
MSFT,2026-01-16,457.83,463.19,456.48,459.86,34246650,460.0301,1768539600000,540455
MSFT,2026-01-20,451.215,456.8,449.28,454.52,26129992,453.8333,1768885200000,740676
MSFT,2026-01-21,452.595,452.69,438.68,444.11,37980510,445.2089,1768971600000,966804
MSFT,2026-01-22,447.62,452.84,444.7,451.14,25349378,449.5396,1769058000000,626459
MSFT,2026-01-23,451.87,471.1,450.53,465.95,38000159,465.3579,1769144400000,799396
MSFT,2026-01-26,465.305,474.25,462.0,470.28,29291235,470.4777,1769403600000,619099
MSFT,2026-01-27,473.7,482.87,473.16,480.58,29213923,479.4532,1769490000000,684604
MSFT,2026-01-28,483.21,483.74,478.0,481.63,36875403,473.6499,1769576400000,932950
MSFT,2026-01-29,439.99,442.5,421.02,433.5,128855323,428.9283,1769662800000,3179712
MSFT,2026-01-30,439.17,439.6,426.45,430.29,58566819,431.5956,1769749200000,1273003
AMZN,2026-01-02,231.34,235.458,224.7,226.5,51456229,228.0134,1767330000000,750788
AMZN,2026-01-05,228.84,234.0,227.18,233.06,49733348,232.1786,1767589200000,678867
AMZN,2026-01-06,232.1,243.18,232.07,240.93,53764677,239.6475,1767675600000,767759
