ticker,date,open,high,low,close,volume,vwap,timestamp,transactions
NVDA,2026-02-20,186.57,190.33,185.9378,189.82,178422337,188.9062,1771563600000,2393963
AAPL,2026-02-20,258.97,264.75,258.16,264.58,42070499,262.8335,1771563600000,631324
GOOGL,2026-02-20,304.32,316.5,303.9,314.98,53210820,313.5143,1771563600000,959783
MSFT,2026-02-20,396.11,400.1159,395.16,397.23,34015249,397.4019,1771563600000,731919
AMZN,2026-02-20,204.76,211.17,203.75,210.11,65881611,208.9412,1771563600000,831775
AVGO,2026-02-20,332.355,340.11,329.58,332.65,17658930,334.1674,1771563600000,307618
TSLA,2026-02-20,408.3,414.7,405.5,411.82,57912225,410.451,1771563600000,1188978
BRK.B,2026-02-20,496.65,498.34,491.805,498.2,4326715,495.607,1771563600000,107386
WMT,2026-02-20,123.0,123.48,121.05,122.99,35150954,122.2805,1771563600000,368293
LLY,2026-02-20,1023.86,1028.65,1002.46,1009.52,3249409,1012.5365,1771563600000,106436
XOM,2026-02-20,150.49,150.8055,146.46,147.28,25908581,147.5957,1771563600000,251651
V,2026-02-20,318.11,322.35,317.82,320.95,6831437,320.6491,1771563600000,138854
JNJ,2026-02-20,246.47,246.88,240.28,242.49,13565791,243.2071,1771563600000,228696
MU,2026-02-20,415.18,430.57,415.15,428.17,29894907,424.751,1771563600000,487163
MA,2026-02-20,520.25,527.5,518.59,526.41,2838652,524.3609,1771563600000,65782
COST,2026-02-20,983.13,987.37,977.81,985.27,1662183,983.7856,1771563600000,78465
ABBV,2026-02-20,225.04,226.69,223.11,224.81,6830385,225.0838,1771563600000,71545
BAC,2026-02-20,52.53,53.09,51.83,53.06,33552006,52.7199,1771563600000,203704
HD,2026-02-20,377.45,384.82,375.9482,382.25,3984167,381.119,1771563600000,96113
PG,2026-02-20,159.125,161.06,158.16,160.78,11508133,160.1661,1771563600000,183238
NFLX,2026-02-20,76.61,78.85,76.4,78.67,32411317,78.0608,1771563600000,497062
